"breakfast","afternoon.tea","evening","after.lunch","after.dinner","anytime","home","work","tea.house","friends","restaurant","pub","tea.type","how","sugar","shape","location.of.purchase","price","sex","socio.professional.category","sport","age","frequency","escape.exotism","spirituality","healthy","diuretic","conviviality","iron.absorption","feminine","refined","slimming","stimulating","relaxing","no.effect.on.health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","pure","sugar","tea bag","large-scale retail stores","unknown-p","M","middle class executive","sportive","35-44","1/day","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","no relaxing","effect on health"
"breakfast","no afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","milk","no sugar","tea bag","large-scale retail stores","variable-p","F","middle class executive","sportive","45-59","1/day","escape-exotism","no spirituality","healthy","diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","stimulating","no relaxing","effect on health"
"no breakfast","afternoon tea","evening","no after lunch","after dinner","no anytime","home","work","no tea house","friends","restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","variable-p","F","other active","sportive","45-59","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","sugar","tea bag","large-scale retail stores","variable-p","M","student","no sportive","15-24","1/day","escape-exotism","spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","evening","no after lunch","no after dinner","anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","variable-p","M","employee","sportive","45-59","more than 2/day","escape-exotism","spirituality","no healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","no afternoon tea","no evening","no after lunch","after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","supermarket-p","M","student","sportive","15-24","1/day","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","friends","no restaurant","no pub","perfumed","pure","no sugar","tea bag","large-scale retail stores","variable-p","M","top executive","sportive","35-44","3 to 6/week","no escape-exotism","no spirituality","healthy","no diuretic","no conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
"no breakfast","afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","black","milk","no sugar","tea bag","large-scale retail stores","variable-p","F","middle class executive","sportive","35-44","1 to 2/week","no escape-exotism","no spirituality","healthy","no diuretic","conviviality","no iron absorption","feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","afternoon tea","no evening","no after lunch","no after dinner","no anytime","home","no work","no tea house","no friends","no restaurant","no pub","perfumed","milk","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","upscale-p","M","top executive","sportive","35-44","more than 2/day","no escape-exotism","no spirituality","no healthy","no diuretic","no conviviality","no iron absorption","no feminine","refined","no slimming","no stimulating","relaxing","effect on health"
"breakfast","no afternoon tea","evening","no after lunch","no after dinner","no anytime","home","no work","tea house","no friends","no restaurant","no pub","black","pure","no sugar","tea bag+bulk","large-scale retail stores+specialized shop","upscale-p","M","top executive","no sportive","35-44","more than 2/day","no escape-exotism","no spirituality","healthy","diuretic","conviviality","no iron absorption","no feminine","no refined","no slimming","no stimulating","relaxing","effect on health"
